country,language,phi_i,theta_c,delta_y_index
C01,Java,1.2309321088374914,0.6661289673901726,0.8199595345873256
C01,Go,1.2309321088374914,0.5864529895742565,0.7218838151906909
C01,C++,1.2309321088374914,0.5239278247859652,0.6449195822424278
C01,JavaScript,1.2309321088374914,0.47710440632223433,0.5872831330098872
C01,PHP,1.2309321088374914,0.4008026102435568,0.4933608022546725
C01,Python,1.2309321088374914,0.3586752880861898,0.4415049287518284
C01,C,1.2309321088374914,0.32397081257950744,0.3987860755302888
C01,TypeScript,1.2309321088374914,0.27926839786402763,0.3437604379144351
C01,Ruby,1.2309321088374914,0.2460279708111528,0.3028437289435811
C01,C#,1.2309321088374914,0.21726812976898832,0.26744231715971856
C02,Java,1.152036341513264,0.6661289673901726,0.7674047785681827
C02,Go,1.152036341513264,0.5864529895742565,0.6756151565786428
C02,C++,1.152036341513264,0.5239278247859652,0.6035838944834258
C02,JavaScript,1.152036341513264,0.47710440632223433,0.5496416147793246
C02,PHP,1.152036341513264,0.4008026102435568,0.4617391727739538
C02,Python,1.152036341513264,0.3586752880861898,0.4132069666780301
C02,C,1.152036341513264,0.32397081257950744,0.37322614968117507
C02,TypeScript,1.152036341513264,0.27926839786402763,0.321727343375545
C02,Ruby,1.152036341513264,0.2460279708111528,0.28343316340321256
C02,C#,1.152036341513264,0.21726812976898832,0.25030078134649436
C03,Java,0.6812162306845746,0.6661289673901726,0.4537778643153413
C03,Go,0.6812162306845746,0.5864529895742565,0.39950129503147513
C03,C++,0.6812162306845746,0.5239278247859652,0.3569081379514635
C03,JavaScript,0.6812162306845746,0.47710440632223433,0.3250112653178342
C03,PHP,0.6812162306845746,0.4008026102435568,0.2730332433986544
C03,Python,0.6812162306845746,0.3586752880861898,0.24433542778977813
C03,C,0.6812162306845746,0.32397081257950744,0.22069417579723083
C03,TypeScript,0.6812162306845746,0.27926839786402763,0.190242165342253
C03,Ruby,0.6812162306845746,0.2460279708111528,0.16759824691894804
C03,C#,0.6812162306845746,0.21726812976898832,0.14800657640911724
C04,Java,0.9009481565967598,0.6661289673901726,0.600147665225879
C04,Go,0.9009481565967598,0.5864529895742565,0.5283637398875851
C04,C++,0.9009481565967598,0.5239278247859652,0.4720318079306655
C04,JavaScript,0.9009481565967598,0.47710440632223433,0.42984633538020844
C04,PHP,0.9009481565967598,0.4008026102435568,0.3611023728581021
C04,Python,0.9009481565967598,0.3586752880861898,0.3231478396180645
C04,C,0.9009481565967598,0.32397081257950744,0.2918809063846616
C04,TypeScript,0.9009481565967598,0.27926839786402763,0.25160634825132616
C04,Ruby,0.9009481565967598,0.2460279708111528,0.22165844677354954
C04,C#,0.9009481565967598,0.21726812976898832,0.19574732100259562
C05,Java,1.636367237791641,0.6661289673901726,1.0900316183812548
C05,Go,1.636367237791641,0.5864529895742565,0.9596524586442762
C05,C++,1.636367237791641,0.5239278247859652,0.8573383274471927
C05,JavaScript,1.636367237791641,0.47710440632223433,0.7807180195117354
C05,PHP,1.636367237791641,0.4008026102435568,0.6558602602239286
C05,Python,1.636367237791641,0.3586752880861898,0.5869244904297195
C05,C,1.636367237791641,0.32397081257950744,0.530135223705842
C05,TypeScript,1.636367237791641,0.27926839786402763,0.4569856568152559
C05,Ruby,1.636367237791641,0.2460279708111528,0.40259211101572856
C05,C#,1.636367237791641,0.21726812976898832,0.3555304493702352
C06,Java,1.1171818421166932,0.6661289673901726,0.7441871868762436
C06,Go,1.1171818421166932,0.5864529895742565,0.6551746312074098
C06,C++,1.1171818421166932,0.5239278247859652,0.5853226524305767
C06,JavaScript,1.1171818421166932,0.47710440632223433,0.533012379537065
C06,PHP,1.1171818421166932,0.4008026102435568,0.4477693984370758
C06,Python,1.1171818421166932,0.3586752880861898,0.40070551906586516
C06,C,1.1171818421166932,0.32397081257950744,0.3619343091896161
C06,TypeScript,1.1171818421166932,0.27926839786402763,0.31199358317071196
C06,Ruby,1.1171818421166932,0.2460279708111528,0.2748579816430357
C06,C#,1.1171818421166932,0.21726812976898832,0.24272800944856712
C07,Java,1.0586927187018924,0.6661289673901726,0.705225887492386
C07,Go,1.0586927187018924,0.5864529895742565,0.6208735099232222
C07,C++,1.0586927187018924,0.5239278247859652,0.5546785732262223
C07,JavaScript,1.0586927187018924,0.47710440632223433,0.5051069610339386
C07,PHP,1.0586927187018924,0.4008026102435568,0.42432680510156606
C07,Python,1.0586927187018924,0.3586752880861898,0.3797269158751528
C07,C,1.0586927187018924,0.32397081257950744,0.34298554034985995
C07,TypeScript,1.0586927187018924,0.27926839786402763,0.29565941938218915
C07,Ruby,1.0586927187018924,0.2460279708111528,0.2604680212947692
C07,C#,1.0586927187018924,0.21726812976898832,0.2300201869924058
C08,Java,0.7106295088920038,0.6661289673901726,0.47337090095521595
C08,Go,0.7106295088920038,0.5864529895742565,0.41675079996940134
C08,C++,0.7106295088920038,0.5239278247859652,0.3723185728225063
C08,JavaScript,0.7106295088920038,0.47710440632223433,0.33904446995498044
